iter	Logloss
0	0.6903611791
1	0.6875304817
2	0.6846665724
3	0.6820336032
4	0.6793969928
5	0.6768474714
6	0.6744385242
7	0.6720161598
8	0.6695078973
9	0.6671893928
10	0.6648684376
11	0.6626577666
12	0.6605808816
13	0.6584327422
14	0.6565838389
15	0.6547670296
16	0.6528566129
17	0.6510719605
18	0.6492120153
19	0.6474311256
20	0.6456580248
21	0.6440138052
22	0.6424052905
23	0.6408796503
24	0.6397589808
25	0.6381967699
26	0.636689672
27	0.6351483886
28	0.6337011434
29	0.632347946
30	0.6309630166
31	0.6297004868
32	0.6285296926
33	0.6272336862
34	0.6260983908
35	0.6248879978
36	0.6236251879
37	0.6225692005
38	0.6216808489
39	0.6205726546
40	0.6195220851
41	0.6185941398
42	0.617566506
43	0.6167185286
44	0.6157753545
45	0.6147425397
46	0.6138044842
47	0.6129540756
48	0.6120694743
49	0.6112530529
50	0.6104676905
51	0.6094783997
52	0.6087617674
53	0.6078967052
54	0.6070925177
55	0.6064706541
56	0.605765353
57	0.6050264345
58	0.6042970026
59	0.6035397732
60	0.6029267849
61	0.6022657
62	0.6016439212
63	0.6010221162
64	0.6004370149
65	0.5998714194
66	0.5993630553
67	0.5988853387
68	0.5982786288
69	0.5976877163
70	0.5970851216
71	0.5964915507
72	0.5959639246
73	0.5954143734
74	0.5949595861
75	0.5944378042
76	0.5939105478
77	0.5934413318
78	0.5929542835
79	0.5923981966
80	0.5919439558
81	0.5914669279
82	0.5911955999
83	0.5908122606
84	0.5904317332
85	0.5900277993
86	0.5897205899
87	0.5893191075
88	0.5888581362
89	0.5885131702
90	0.5881162477
91	0.5877307459
92	0.5873090306
93	0.5870550121
94	0.5865458203
95	0.5861722174
96	0.5858764336
97	0.5855071859
98	0.5851357059
99	0.5847819329
100	0.5843189317
101	0.5840324479
102	0.5837495402
103	0.5834329877
104	0.5830502923
105	0.5827057242
106	0.5823785269
107	0.582099404
108	0.5817924545
109	0.5815038854
110	0.5811940575
111	0.5808704404
112	0.5806163474
113	0.5803626941
114	0.580140908
115	0.579856452
116	0.5795739817
117	0.5792699054
118	0.5790158444
119	0.5787064642
120	0.5783707009
121	0.5782249355
122	0.5780317888
123	0.5778066185
124	0.5775964897
125	0.5773606411
126	0.5771538241
127	0.5769186998
128	0.5766486357
129	0.5764103375
130	0.5761879826
131	0.5761183103
132	0.5758645099
133	0.5756914457
134	0.5754727637
135	0.5751726985
136	0.5749641561
137	0.5747778176
138	0.5745759045
139	0.5743426909
140	0.5741555879
141	0.573957532
142	0.5738012419
143	0.5736288723
144	0.5735230335
145	0.5733317672
146	0.573128302
147	0.5729970774
148	0.5728153955
149	0.5726140299
150	0.5724331422
151	0.5722678686
152	0.5721033534
153	0.5719112488
154	0.5718039232
155	0.5716176642
156	0.5714551786
157	0.5712866176
158	0.5711664564
159	0.5710493229
160	0.5708794363
161	0.570715495
162	0.5705734041
163	0.5704175494
164	0.5702843314
165	0.5701479013
166	0.5699984563
167	0.5697373285
168	0.5696204905
169	0.5694503522
170	0.5692826666
171	0.5690819184
172	0.5689316892
173	0.5687750327
174	0.5685676456
175	0.5684440208
176	0.5682951569
177	0.5681839041
178	0.5680990472
179	0.5679618672
180	0.5678116682
181	0.5677175103
182	0.5675917608
183	0.5674635761
184	0.5673089461
185	0.5672011277
186	0.5670697243
187	0.5669382655
188	0.5668134531
189	0.5667173787
190	0.5666522095
191	0.5665460409
192	0.5663787972
193	0.5662558534
194	0.5661769102
195	0.5660506596
196	0.5659264591
197	0.5658931721
198	0.5658366468
199	0.5657286184
200	0.5656155648
201	0.5655088605
202	0.5653771001
203	0.5652753679
204	0.5651683699
205	0.5650937197
206	0.5650243706
207	0.5649403564
208	0.5648045902
209	0.5646810723
210	0.5645861236
211	0.5645182542
212	0.5644529477
213	0.5643385608
214	0.5642317839
215	0.5641623282
216	0.5640346692
217	0.5639604156
218	0.5638587202
219	0.5637190561
220	0.5636305478
221	0.5634703229
222	0.5633557913
223	0.5632830551
224	0.5632575586
225	0.5631669009
226	0.5630830533
227	0.5629613952
228	0.5628342061
229	0.5627748823
230	0.5626537526
231	0.5625689015
232	0.5624537208
233	0.5623494351
234	0.562290726
235	0.5622288386
236	0.5621761208
237	0.5621103422
238	0.5620056889
239	0.5618583992
240	0.5617226594
241	0.5616245717
242	0.5615324203
243	0.5613809958
244	0.561282794
245	0.561217952
246	0.561102627
247	0.5609929582
248	0.5609206571
249	0.5607966704
250	0.5607389466
251	0.5606609858
252	0.5605053226
253	0.5604524559
254	0.5603777317
255	0.5602889164
256	0.560253288
257	0.5601958053
258	0.560151523
259	0.5600809142
260	0.5600171932
261	0.5599426659
262	0.5599201988
263	0.5597957032
264	0.5597371421
265	0.5596415525
266	0.5595234522
267	0.5594454928
268	0.5593586886
269	0.5592997302
270	0.559183467
271	0.5591036651
272	0.5589829997
273	0.5589215139
274	0.5588315395
275	0.5586450913
276	0.5586036587
277	0.5585083793
278	0.5584480156
279	0.5583733629
280	0.5583060755
