iter	Passed	Remaining
0	2	1872
1	4	1716
2	6	1641
3	8	1627
4	11	1634
5	13	1645
6	15	1625
7	17	1616
8	19	1607
9	21	1607
10	24	1613
11	26	1618
12	28	1618
13	31	1615
14	33	1601
15	35	1598
16	37	1614
17	39	1608
18	42	1601
19	44	1595
20	46	1592
21	48	1590
22	50	1587
23	52	1584
24	55	1584
25	57	1581
26	59	1578
27	61	1577
28	63	1569
29	66	1566
30	68	1563
31	70	1560
32	72	1555
33	74	1551
34	76	1548
35	79	1549
36	81	1550
37	83	1548
38	85	1543
39	87	1542
40	90	1545
41	92	1541
42	94	1539
43	96	1536
44	99	1533
45	101	1529
46	103	1526
47	105	1524
48	107	1523
49	110	1523
50	112	1523
51	114	1521
52	117	1521
53	119	1520
54	121	1519
55	123	1516
56	126	1516
57	128	1516
58	130	1513
59	132	1511
60	135	1510
61	137	1510
62	140	1508
63	142	1507
64	144	1508
65	146	1504
66	149	1505
67	151	1505
68	154	1505
69	156	1506
70	159	1506
71	161	1506
72	164	1506
73	166	1504
74	169	1505
75	171	1505
76	174	1503
77	176	1504
78	179	1503
79	181	1503
80	184	1502
81	186	1500
82	188	1493
83	190	1493
84	193	1494
85	195	1492
86	198	1491
87	200	1490
88	202	1489
89	205	1488
90	207	1485
91	209	1482
92	212	1479
93	214	1477
94	216	1474
95	228	1534
96	230	1531
97	232	1526
98	234	1522
99	236	1518
100	238	1515
101	241	1513
102	243	1509
103	245	1506
104	247	1502
105	250	1500
106	252	1497
107	254	1496
108	257	1494
109	259	1491
110	261	1489
111	264	1486
112	266	1485
113	269	1482
114	271	1479
115	273	1477
116	275	1474
117	278	1471
118	280	1468
119	282	1466
120	285	1464
121	287	1462
122	290	1459
123	292	1456
124	294	1454
125	296	1451
126	299	1448
127	301	1445
128	303	1443
129	305	1440
130	308	1437
131	309	1430
132	311	1427
133	313	1423
134	315	1420
135	318	1417
136	320	1414
137	322	1411
138	324	1407
139	326	1404
140	328	1400
